article_id,title,authors,journal,year,doi,pubmed_id,pi,masuni,consensus
rayyan-486160165,Comparison of the safety and efficacy of EDUG-guided tunnelled PICC versus traditional PICC in patients with cancer: A retrospective study.,Zeng J and Zhang Y and Xu H,Medicine,,10.1097/MD.0000000000044727 e44727,,-1,-1,Exclude
rayyan-486160166,A retrospective cohort study on the use of ultrasound in establishing peripheral intravenous access in emergency patients with difficult veins.,Yuan M and Liu Y and Tang L and Zhang W,Medicine,,10.1097/MD.0000000000044348 e44348,,-1,1,FullText
rayyan-486160167,Long-Term Follow-Up of Patients Undergoing Radial Artery Recanalization via Distal Transradial Access.,Zhou T and Fan X and Huang H and Li L and Chen T and Li F and Shi G and Cai G,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,10.1002/ccd.70264,,-1,-1,Exclude
rayyan-486160168,Subcutaneous Nitroglycerin to Prevent Radial Artery Occlusion in Pediatric Patients: A Randomized Clinical Trial.,Park JB and Ji SH and Kim EH and Lee JH and Kim HS and Kim JT and Jang YE,JAMA pediatrics,,10.1001/jamapediatrics.2025.3652,,-1,-1,Exclude
rayyan-486160169,Stiffness Parameters of the Radial Artery in Patients Undergoing Distal Transradial Coronary Angiography: A Duplex Ultrasonography Investigation.,Soydan E and Akin M,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,10.1002/ccd.70211,,-1,-1,Exclude
rayyan-486160170,Insertion-related complications after central venous catheterization in onco-hematologic children: A prospective clinical study.,Annetta MG and Mensi S and Morena TC and Tosi F and Celentano D and Piervincenzi E and Pittiruti M and Conti G,European journal of pediatrics,,10.1007/s00431-025-06452-7,,-1,-1,Exclude
rayyan-486160171,"Upper Extremity Vascular Access: Challenges, Controversies, and Clarifications.",Ibrahim K and Han J and Kirtane A and Shroff A,Interventional cardiology clinics,,S2211-7458(25)00049-5 [pii] 10.1016/j.iccl.2025.07.005,,-1,-1,Exclude
rayyan-486160172,Complications of Radial Access.,Abu-Much A and Restrepo VJ and Prasad M and Shah B,Interventional cardiology clinics,,S2211-7458(25)00046-X [pii] 10.1016/j.iccl.2025.07.002,,-1,-1,Exclude
rayyan-486160173,"Brachial Plexus Block Reduces Pain Scores During Peripherally Inserted Central Catheter Placement in Neonates and Pediatric Patients Compared to Local Infiltration Anesthesia: A Randomized, Double-Blind, Single-Center Study.",Sakai W and Chaki T and Murouchi T and Ichisaka Y and Nawa Y and Nawa T and Yamakage M,Paediatric anaesthesia,,10.1111/pan.70055,,-1,-1,Exclude
rayyan-486160174,"Distal Radial Artery Access With 6F and 7F Thin-Walled Sheaths for Coronary Intervention: A Multicentre, Randomized, DRAWS Trial Protocol.",Liu M and Du Y and Cui C and Li C and Yu W and Wang H and Song Y and Gao Z and Song L and Zhai J and Yang Y and Yang W and Wu Y and Liu D and Guo J and Heisha N and Liu H and Zhao Y and Zhang F and Tang Y and Zhao Y and Yu M and Zhang B and Yang J and Li R and Li H and Xiong X and Guo X and Li H and Song Y and Duan F and Gao L,The Canadian journal of cardiology,,S0828-282X(25)01057-8 [pii] 10.1016/j.cjca.2025.09.002,,-1,-1,Exclude
rayyan-486160175,Optimal catheter-to-vein ratios to prevent peripheral venous catheter failure: a single-centre prospective cohort study.,Marsh N and Larsen EN and O'Brien C and Young ER and Peach H and Corley A and Ullman AJ and Keogh S and Rickard CM and Bulmer A and Ware RS,British journal of anaesthesia,,S0007-0912(25)00465-9 [pii] 10.1016/j.bja.2025.06.037,,-1,1,FullText
rayyan-486160176,Incidence of fibroblastic sleeve in midline catheters: A pilot study in a non-intensive medical department.,Passaro G and Ortolani E and Landolfi E and Puzio G and Zazzara MB and Imperoli G,The journal of vascular access,,10.1177/11297298251356774,,-1,-1,Exclude
rayyan-486160177,Ultrasonography-Observed Subcutaneous Edema Immediately After Peripheral Intravenous Catheter Placement Is a Factor in Subsequent Catheter Failure.,Takahashi T and Nakagami G and Murayama R and Abe M and Sanada H,Journal of infusion nursing : the official publication of the Infusion Nurses Society,,10.1097/NAN.0000000000000595,,-1,1,FullText
rayyan-486160178,Effect of Combination of Subcutaneous Lidocaine With Two Different Doses of Nitroglycerin Versus Subcutaneous Lidocaine Alone for Ultrasound-guided Radial Artery Cannulation: A Randomized Controlled Trial.,Singh S and Kumar R and Sahay N and Naaz S,Journal of cardiothoracic and vascular anesthesia,,S1053-0770(25)00442-2 [pii] 10.1053/j.jvca.2025.05.046,,-1,-1,Exclude
rayyan-486160179,Sex-Based Outcomes with Catheter-Directed and Ultrasound-Assisted Thrombolysis for Acute Limb Ischemia.,Nguyen T and Dargan C and Penuela M and Shames M and Bailey CJ,Annals of vascular surgery,,S0890-5096(25)00456-X [pii] 10.1016/j.avsg.2025.06.030,,-1,-1,Exclude
rayyan-486160180,Feasibility and safety analysis of distal radial arterial catheterization for arterial pressure monitoring in ICU.,Wang J and Zhang J and Zhang Y and Liu X and Bai C and Yu R and Zhang C and Qiu X,Journal of clinical monitoring and computing,,10.1007/s10877-025-01313-y,,-1,-1,Exclude
rayyan-486160181,The important role of preoperative ultrasound in the efficacy and safety of coronary intervention via distal transradial access.,Chen T and Li L and Yang A and Fan X and Shi G and Li F and Cai G,BMC cardiovascular disorders,,10.1186/s12872-025-04861-y 404,,-1,-1,Exclude
rayyan-486160182,Arteriovenous fistula after distal transradial access: A case report and literature review.,Fan X and Chen T and Li F and Shi G and Song R and Cai G,The journal of vascular access,,10.1177/11297298251342303,,-1,-1,Exclude
rayyan-486160183,Puncture site versus exit site in central venous access procedures: Still a source of confusion.,Annetta MG and Spencer TR and Pittiruti M,The journal of vascular access,,10.1177/11297298251338968,,-1,-1,Exclude
rayyan-486160184,The use of paramedics to establish an in-hospital ultrasound-guided peripheral intravenous access program.,Wasiak D and Snell EW and Gaither JB and Demant M and Bradley G and Acuna J,The journal of vascular access,,10.1177/11297298251333494,,-1,1,FullText
rayyan-486160185,Standardised procedure for pacemaker axillary vein puncture.,Ji B and Mao Y and Liu XB and Sun B and Xie Y,BMC cardiovascular disorders,,10.1186/s12872-025-04731-7 286,,-1,-1,Exclude
rayyan-486160186,Ultrasound-guided versus anatomic landmark-guided percutaneous femoral artery access.,Strauss SA and Ma GW and Seo C and Siracuse JJ and Madassery S and Truesdell AG and Pereira K and Korngold EC and Kayssi A,The Cochrane database of systematic reviews,,10.1002/14651858.CD014594.pub2 CD014594,,-1,-1,Exclude
rayyan-486160187,Local nitroglycerin to facilitate radial arterial catheterization in adults: a systematic review and meta-analysis.,Rao U and Phillips T and Rao S,Canadian journal of anaesthesia = Journal canadien d'anesthesie,,10.1007/s12630-025-02931-5,,-1,-1,Exclude
rayyan-486160188,Upper Arm Versus Forearm Placement of Long Peripheral Catheters for Blood Sampling: A Randomized Controlled Trial.,Bahl A and Drogowski M and Gutta A and Lehman C and Younes E and DiLoreto E and Shen C,Journal of nursing care quality,,10.1097/NCQ.0000000000000857,,-1,1,FullText
rayyan-486160189,Efficacy and success rate of Distal Radial Artery Access at the Anatomical Snuffbox for Coronary Intervention at Central Chest Institute of Thailand.,Thongplung K and Kanaderm C and Witayanan JN and Kanoksilp A and Chantadansuwan T,BMC cardiovascular disorders,,10.1186/s12872-025-04545-7 115,,-1,-1,Exclude
rayyan-486160190,The relationship between radial artery stenosis and whole blood viscosity after transradial coronary angiography.,Ozkan C and Kanal Y and Bekircavusoglu AF and Yildirim A,Cardiovascular journal of Africa,,10.5830/CVJA-2024-010,,-1,-1,Exclude
rayyan-486160191,Ultrasound-Guided Long Peripheral Catheters for Venous Access in the Intensive Care Unit: A Descriptive Study.,Sam AF and Shankar S and Nandakumar K and Kumar AA,Cureus,,10.7759/cureus.77474 e77474,,-1,-1,Exclude
rayyan-486160192,Midline catheter insertion as a strategic component of intravenous infusion: A single-centre retrospective analysis.,Cichowlas G and Fornal I and Latos M and Kosson D,The journal of vascular access,,10.1177/11297298251316956,,-1,-1,Exclude
rayyan-486160193,Effectiveness and Safety of Methods to Prevent Bloodstream and Other Infections and Noninfectious Complications Associated With Peripherally Inserted Central Catheters: A Systematic Review and Meta-Analysis.,Dobrescu A and Constantin AM and Pinte L and Chapman A and Ratajczak P and Klerings I and Emprechtinger R and Allegranzi B and Grayson ML and Toledo JP and Gartlehner G and Nussbaumer-Streit B,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,10.1093/cid/ciaf063,,-1,-1,Exclude
rayyan-486160194,Ultrasound evaluation of peripheral intravenous catheter thrombus formation associated with intravenous flucloxacillin administration: A prospective observational pilot study.,Bulmer AC and Nightingale R and Hewage W and Keijzers G and Snelling PJ,Australasian journal of ultrasound in medicine,,10.1002/ajum.12414 e12414,,-1,1,FullText
rayyan-486160195,First-Attempt Success in Ultrasound-Guided vs Standard Peripheral Intravenous Catheter Insertion: The EPIC Superiority Randomized Clinical Trial.,Kleidon TM and Schults JA and Royle RH and Gibson V and Ware RS and Andresen E and Cattanach P and Dean A and Pitt C and Ramstedt M and Byrnes J and Nelmes P and Rickard CM and Ullman AJ,JAMA pediatrics,,10.1001/jamapediatrics.2024.5581,,1,1,Include_Both
rayyan-486160196,Anticipating impending peripheral intravenous catheter failure: A diagnostic accuracy observational study combining ultrasound and artificial intelligence to improve clinical care.,Bahl A and Johnson S and Mielke N and Blaivas M and Blaivas L,The journal of vascular access,,10.1177/11297298241307055,,-1,-1,Exclude
rayyan-486160197,Ultra-low contrast strategy for routine coronary procedures via distal transradial access: real-world experience with consecutive all-comers patients from the DISTRACTION registry.,Oliveira MD and Caixeta A,The Journal of invasive cardiology,,10.25270/jic/24.00276,,-1,-1,Exclude
rayyan-486160198,Comparing arterial catheterisation by palpation or ultrasound guidance by novice nurses in an adult intensive care unit: A prospective cohort study.,Leon M and Marco DN and Cubedo M and Gonzalez C and Guirao A and Canueto MDC and Salvador L and Farre A and Perez J and Carmona I and Doti PI and Fernandez S and Tellez A and Lopez-Delgado JC and Mayor-Vazquez E and Almorin L and Nicolas JM and Castro P,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,,S1036-7314(24)00286-8 [pii] 10.1016/j.aucc.2024.101135,,-1,-1,Exclude
rayyan-486160199,"Traditional Versus Distal Radial Access for Coronary Diagnostic and Revascularization Procedures: Final Results of the TENDERA Multicenter, Randomized Controlled Study.",Babunashvili AM and Pancholy S and Zulkarnaev AB and Kaledin AL and Kochanov IN and Korotkih AV and Kartashov DS and Babunashvili MA,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,10.1002/ccd.31271,,-1,-1,Exclude
rayyan-486160200,Intravascular Ultrasound Assessment of Distal Trans-Radial Access in Patients Undergoing Percutaneous Coronary Intervention.,Poletti E and Colletti G and Zivelonghi C and Benedetti A and Moroni A and El Jattari H and Natalis A and Rubino F and Scott B and Bentakhou E and Haine SEF and Agostoni P and Ungureanu C,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,,10.1002/ccd.31279,,-1,-1,Exclude
rayyan-486160201,Cost effectiveness of a vascular access education and training program for hospitalized emergency department patients.,Bahl A and Xing Y and Gibson SM and DiLoreto E,PloS one,,10.1371/journal.pone.0310676 e0310676,,-1,1,FullText
rayyan-486160202,"Comparison of peripheral cannula outcomes, ultrasound-guided placement of deep veins versus blind insertion of superficial veins in children aged 0-18 years: A retrospective study.",Refosco M and Mazza A and Divisic A and Binotto D and Zamberlan S and Schiavon B and Prodomini B,The journal of vascular access,,10.1177/11297298241282369,,1,1,Include_Both
rayyan-486160203,Risk factors of difficult intravenous access and catheter failure in the urology ward: A prospective observational study.,Abe M and Tanaka K and Minoru M and Kume H and Nakagami G,The journal of vascular access,,10.1177/11297298241278772,,-1,-1,Exclude
rayyan-486160204,"Long guidewire peripheral intravenous catheters in emergency departments for management of difficult intravenous access: A multicenter, pragmatic, randomized controlled trial.",Xu HG and Corley A and Young ER and Doubrovsky A and Ware RS and Afoakwah C and Wang C and Stirling S and Marsh N,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,,10.1111/acem.15004,,-1,-1,Exclude
rayyan-486160205,[Clinical application study of midline catheter in vasopressor therapy].,Guo R and Wu J and Ren X and Guo C,Zhonghua wei zhong bing ji jiu yi xue,,10.3760/cma.j.cn121430-20240326-00286,,-1,-1,Exclude
rayyan-486160206,Popliteal access for iliofemoral occlusive disease in the office-based catheter laboratory.,Shennib H and Teribery E and Evans A and Huerta V,Journal of vascular surgery,,S0741-5214(24)01807-X [pii] 10.1016/j.jvs.2024.08.055,,-1,-1,Exclude
rayyan-486160207,The performance and complications of long peripheral venous catheters: A retrospective single-centre study.,Krath J and Fredskilde J and Christensen SK and Baltsen CD and Valentin K and Offersen R and Juhl-Olsen P,Acta anaesthesiologica Scandinavica,,10.1111/aas.14517,,-1,-1,Exclude
rayyan-486160208,Operation STICK Improves Vascular Access Outcomes in a Specialty Team: A Quasi-Experimental Study.,Gibson SM and Sarlabous J and Adair L and Bahl A,Journal of nursing care quality,,10.1097/NCQ.0000000000000801,,-1,-1,Exclude
rayyan-486160209,Ultrasound-guided modified dynamic needle tip positioning technique for distal radial artery catheterization: A randomized controlled trial.,Liang Y and Liu P and Wei C and Li W and Li C and Lai T and Peng S and Xu J and Zhang H and Li P and Li S,The journal of vascular access,,10.1177/11297298241270537,,-1,-1,Exclude
rayyan-486160210,Catheters linked thrombosis in neonates: a single center observational study.,Farag MM and Ghazal HAER and Radwan MM and El-Sayed NS,Italian journal of pediatrics,,10.1186/s13052-024-01708-8 147,,-1,-1,Exclude
rayyan-486160211,Hemodynamic monitoring and echocardiographic evaluation in cardiogenic shock.,Ochagavia A and Palomo-Lopez N and Fraile V and Zapata L,Medicina intensiva,,S2173-5727(24)00177-2 [pii] 10.1016/j.medine.2024.07.001,,-1,-1,Exclude
rayyan-486160212,Ultrasound assessment of short peripheral catheter failure.,Giustivi D and Celano R and Cattalani M and Camilli C and Trombetta L and Facchinetti P and Bartoli A and Bizzi E and Urso F and Donadoni M and Quici M and La Cava L and Calloni M and Martini E and Taino A and Cogliati C and Gidaro A,The journal of vascular access,,10.1177/11297298241261146,,-1,-1,Exclude
rayyan-486160213,Serial dilation to enable ulnar artery access for endovascular neurointervention: Technical report and systematic review of the literature.,Brandel MG and McCann CP and Tucker B and Wali AR and Steinberg JA and Santiago-Dieppa DR and Khalessi AA and Pannell JS,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,,S1052-3057(24)00344-6 [pii] 10.1016/j.jstrokecerebrovasdis.2024.107900,,-1,-1,Exclude
rayyan-486160214,Superficial temporal artery access for transfemoral or transbrachial carotid artery stenting in selected patients considered unfit for carotid surgery.,Myrcha P and Taranta I and Hendiger W and Rocha-Neves J and Paraskevas KI and Gloviczki P,International angiology : a journal of the International Union of Angiology,,10.23736/S0392-9590.24.05231-3,,-1,-1,Exclude
rayyan-486160215,PICC tip dislodgement causing massive pleural effusion and atelectasis with acute respiratory failure: a case report.,Zhu Y and Qin Y and Alvarez JF and Yin W,BMC pediatrics,,10.1186/s12887-024-04856-2 441,,-1,-1,Exclude
rayyan-486160216,Prevention of complications related to peripherally inserted central catheter insertion techniques in newborns: systematic review and network meta-analysis.,Beleza LO and Brasil GDC and Margatho AS and Vasques CI and Silveira RCCP and Rocha PRS and Ribeiro LM,Revista latino-americana de enfermagem,,S0104-11692024000100501 [pii] 10.1590/1518-8345.6905.4161 e4161,,-1,-1,Exclude
rayyan-486160217,A latent bleeding complication in ipsilateral common femoral puncture involving delayed diagnosis: a case report.,Nomura T and Yoshida S and Kitamura M and Ono K and Shoji K and Kato Y and Wada N and Keira N and Tatsumi T,BMC cardiovascular disorders,,10.1186/s12872-024-04006-7 342,,-1,-1,Exclude
rayyan-486160218,Subcutaneous edema as a potential cause of catheter failure in older inpatients receiving peripheral parenteral nutrition.,Kitada M and Yamamura S and Hori E,Drug discoveries & therapeutics,,10.5582/ddt.2024.01029,,-1,-1,Exclude
rayyan-486160219,Required volume for color flow injection test to confirm the intravascular placement of a peripheral venous catheter.,Kamata M,The journal of vascular access,,10.1177/11297298241258625,,-1,-1,Exclude
rayyan-486160220,Ultrasound-guided Axillary Artery Catheter Placement and Associated Complications in Critically Ill Patients.,Cardona S and Gross AS and Yu AT and Bassily-Marcus A and Oropello J and Manasia A,Journal of intensive care medicine,,10.1177/08850666241257417,,-1,-1,Exclude
rayyan-486160221,Poland's first vascular access team 3-year analysis: Insights and learnings.,Latos M and Kosson D and Zawadka M,The journal of vascular access,,10.1177/11297298241251502,,-1,-1,Exclude
rayyan-486160222,Overview of the distal radial access from the radial artery occlusion perspective.,Korotkikh AV and Kashtanov MG,The journal of vascular access,,10.1177/11297298241250376,,-1,-1,Exclude
rayyan-486160223,"Totally implanted central venous access devices inserted by the femoral route: A narrative review and the proposal of a novel approach, the FICC-port.",Annetta MG and Marche B and Ortiz Miluy G and Pittiruti M,The journal of vascular access,,10.1177/11297298241236816,,-1,-1,Exclude
rayyan-486160224,Introducing an ultrasound-guided longer length peripheral IV catheter for patients with difficult venous access.,Godfrey J and Gallipoli L,British journal of nursing (Mark Allen Publishing),,10.12968/bjon.2024.33.7.S4,,-1,-1,Exclude
rayyan-486160225,"Perioperative arterial catheterization: A prospective evaluation of ultrasound, infection, and patient-focused outcomes.",Eley V and Peters N and Woods C and Llewellyn S and Derboghossian T and Ogg M and Rickard CM and Chin A,The journal of vascular access,,10.1177/11297298241246300,,-1,-1,Exclude
rayyan-486160226,The SIECC protocol: A novel insertion bundle to minimize the complications related to epicutaneo-cava catheters in neonates.,D'Andrea V and Pittiruti M and Prontera G and Vento G and Barone G,The journal of vascular access,,10.1177/11297298241239699,,-1,-1,Exclude
rayyan-486160227,Feasibility and efficacy of real-time ultrasound-guided venous closure with suture-mediated vascular closure device.,Tachi M and Tanaka A and Teraoka T and Furuta T and Matsushita E and Hayashi K and Shimojo M and Yanagisawa S and Inden Y and Murohara T,Heart rhythm,,S1547-5271(24)02368-3 [pii] 10.1016/j.hrthm.2024.04.041,,-1,-1,Exclude
rayyan-486160228,Systematic application of SICA-PED protocol for central venous catheterization in neonates: A prospective clinical study on 104 cases.,Spagnuolo F and Maietta A and Pugliese U and Lettieri E and Minopoli F and Coppola N and La Verde M and Macera M and Monari C and Onorato L and Carpentieri M,The journal of vascular access,,10.1177/11297298241239998,,-1,-1,Exclude
rayyan-486160229,Real-time ultrasound-guided hemostasis using suture-mediated closure device.,Kwak J and Bum Cho S,The journal of vascular access,,10.1177/11297298231215843,,-1,-1,Exclude
rayyan-486160230,Prospective evaluation of efficacy and safety of distal radial and radial artery access using a novel articulating-tip guidewire.,Tal MG and Covey A and Qaqish S and Livne R and Klass D,The journal of vascular access,,10.1177/11297298231212227,,-1,-1,Exclude
rayyan-486160231,Ultrasound guidance practices used for the placement of vascular accesses in intensive care units: an observational multicentre study.,van der Mee-Marquet N and Valentin AS and Duflot I and Farizon M and Petiteau A,European journal of medical research,,10.1186/s40001-023-01518-4 528,,-1,-1,Exclude
rayyan-486160232,Femoral venous access: State of the art and future perspectives.,Annetta MG and Elli S and Marche B and Pinelli F and Pittiruti M,The journal of vascular access,,10.1177/11297298231209253,,-1,-1,Exclude
rayyan-486160233,Incidence of Distal Radial Artery Occlusion and its Influencing Factors After Cardiovascular Intervention Via the Distal Transradial Access.,Chen T and Li L and Yang A and Huang H and Shi G and Li F and Li W and Lu W and Xu L and Li L and Cai G,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,,10.1177/15266028231208638,,-1,-1,Exclude
rayyan-486160234,Foundation for implementing a comprehensive vascular access excellence initiative organization-wide to improve vascular access device insertion and standardize care: best practice for an acute care hospital.,Campos C and Lopez M and Irwin-Nieto V and Richards R and Deen MR and Lalata A,British journal of nursing (Mark Allen Publishing),,10.12968/bjon.2023.32.19.S26,,-1,-1,Exclude
rayyan-486160235,Radial artery patency outcomes with saline flushing of the radial sheath after coronary intervention: A prospective cohort study.,Habib A and Abbasi W and Haq AU and Kiani SS and Kumar Rathi P and Sheikh S and Rathi U and Mehmoodi A and Malik J,The journal of vascular access,,10.1177/11297298231202538,,-1,-1,Exclude
rayyan-486160236,"""Safe Femoral"" Artery Approach in Endovascular Procedures: A Systematic Review of Its Safety and Feasibility.",Sanguettoli F and Pavasini R and Nobile G and Pricoco F and Tasneem S and Biscaglia S and Tumscitz C and Campo G and Casella G and Iannopollo G,Current problems in cardiology,,S0146-2806(23)00531-5 [pii] 10.1016/j.cpcardiol.2023.102114,,-1,-1,Exclude
rayyan-486160237,The safe implementation of peripherally inserted central catheters by nurse practitioners for patients with gastroenterological diseases in Japan: a single-center retrospective study.,Takematsu Y and Shibasaki S and Tanaka T and Hiro J and Takahara T and Matsuoka H and Uyama I and Suda K,Surgery today,,10.1007/s00595-023-02748-z,,-1,-1,Exclude
rayyan-486160238,[Application of Midline Catheter Placed Under Ultrasound Guidance in Intravenous Therapy for Oral and Maxillofacial Tumor].,Huang Q and Wu W and He X and Deng Y and Chen Y and Gu W,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,,10.12182/20230760202,,-1,-1,Exclude
rayyan-486160239,Evaluation of extended-length cannula inserted using ultrasound guidance in patients with difficult IV access.,Smith E and Irimia V,British journal of nursing (Mark Allen Publishing),,10.12968/bjon.2023.32.14.S14,,-1,-1,Exclude
rayyan-486160240,Ultrasound-guided PIVC insertion: a randomised controlled trial protocol.,Kleidon TM and Schults J and Rickard C and Ullman AJ,British journal of nursing (Mark Allen Publishing),,10.12968/bjon.2023.32.14.S22,,1,-1,FullText
